slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-mainnet,,!offer:api3,"[""[Website](https://market.api3.org/bsc)""]",mainnet,,,,,,,,,,,,
api3-testnet,,!offer:api3,"[""[Website](https://market.api3.org/bsc-testnet)""]",testnet,,,,,,,,,,,,
binance-oracle,Binance,,"[""[Website](https://oracle.binance.com/)""]",mainnet,Decentralized Oracle,FALSE,"[""Feed Adapter API"",""Feed Registry API""]","[""24/7 monitoring"",""Reliability-focused analytics""]","[""Verifiable Random Function (VRF) for provably fair randomness""]","[""asset-prices"",""randomness""]",Decentralized,TRUE,"Tamper-proof, real-time off-chain data feeds","[""Python"",""Node.js"",""JavaScript""]","[""Certik (2022)""]",
chainlink-mainnet,,!offer:chainlink,"[""[Docs](https://docs.chain.link/ccip/directory/mainnet/chain/bsc-mainnet)""]",mainnet,,,,,,,,,,,,
chainlink-testnet,,!offer:chainlink,"[""[Docs](https://docs.chain.link/ccip/directory/testnet/chain/bsc-testnet)""]",testnet,,,,,,,,,,,,
dia-mainnet,,!offer:dia,"[""[Docs](https://www.diadata.org/docs/guides/chain-specific-guide/bnb-chain)""]",mainnet,,,,,,,,,,,,
orochi-mainnet,,!offer:orochi,"[""[Docs](https://docs.orochi.network/Orocle/mainnet)""]",mainnet,,,,,,,,,,,,
orochi-testnet,,!offer:orochi,"[""[Docs](https://docs.orochi.network/Orocle/testnet)""]",testnet,,,,,,,,,,,,
pyth-mainnet,,!offer:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/core/contract-addresses/evm#mainnets)""]",mainnet,,,,,,,,,,,,
pyth-testnet,,!offer:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/core/contract-addresses/evm#testnets)""]",testnet,,,,,,,,,,,,
redstone-mainnet,,!offer:redstone,"[""[Website](https://app.redstone.finance/app/feeds/?networks=56&page=1&sortBy=popularity&sortDesc=false&perPage=32)""]",mainnet,,,,,,,,,,,,
redstone-testnet,,!offer:redstone,"[""[Website](https://app.redstone.finance/app/feeds/?page=1&sortBy=popularity&sortDesc=false&perPage=32&networks=97)""]",testnet,,,,,,,,,,,,
supra-mainnet,,!offer:supra,"[""[Docs](https://docs.supra.com/oracles/data-feeds/pull-oracle/networks)""]",mainnet,,,,,,,,,,,,
supra-testnet,,!offer:supra,"[""[Docs](https://docs.supra.com/oracles/data-feeds/pull-oracle/networks)""]",testnet,,,,,,,,,,,,
