slug,provider,offer,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
binance-wallet,,!offer:binance-wallet,,,,,,,,,,,,,,,,,,,
bybit-wallet,,!offer:bybit-wallet,,,,,,,,,,,,,,,,,,,
coin-wallet,,!offer:coin-wallet,,,,,,,,,,,,,,,,,,,
cypherock-x1,,!offer:cypherock-x1,,,,,,,,,,,,,,,,,,,
exodus,,!offer:exodus,,,,,,,,,,,,,,,,,,,
foxwallet,,!offer:foxwallet,,,,,,,,,,,,,,,,,,,
gate,,!offer:gate,,,,,,,,,,,,,,,,,,,
gem-wallet,,!offer:gem-wallet,,,,,,,,,,,,,,,,,,,
guarda,,!offer:guarda,,,,,,,,,,,,,,,,,,,
ledger,,!offer:ledger,,,,,,,,,,,,,,,,,,,
math-wallet,,!offer:math-wallet,,,,,,,,,,,,,,,,,,,
mytonwallet,MyTonWallet,,"[""[Website](https://mytonwallet.io/)""]",TRUE,"[""Browser Extension"",""Web App"",""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""Jettons"",""NFT""]",TRUE,$0,"[""telegram"",""email""]",,"[""EN"",""RU"",""ZH"",""ES"",""ID""]",FALSE,
okxwallet,,!offer:okxwallet,,,,,,,,,,,,,,,,,,,
onekey,,!offer:onekey,,,,,,,,,,,,,,,,,,,
openmask,OpenMask,,"[""[Website](https://www.openmask.app/)""]",FALSE,"[""Browser Extension""]",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""Jettons"",""NFT""]",FALSE,$0,"[""telegram"",""email""]",,"[""EN""]",FALSE,
safepal,,!offer:safepal,,,,,,,,,,,,,,,,,,,
tangem,,!offer:tangem,,,,,,,,,,,,,,,,,,,
tokenpocket,,!offer:tokenpocket,,,,,,,,,,,,,,,,,,,
tonhub,Tonhub,,"[""[Website](https://tonhub.com/)""]",TRUE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""Jettons"",""NFT""]",TRUE,$0,"[""telegram"",""email""]",,"[""EN"",""RU""]",FALSE,
tonkeeper,Tonkeeper,,"[""[Website](https://tonkeeper.com/)"",""[Telegram](https://t.me/tonkeeper)""]",TRUE,"[""Browser Extension"",""Desktop"",""iOS"",""Android""]",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""Jettons"",""NFT"",""TEP-74"",""TEP-62""]",TRUE,$0,"[""telegram"",""email""]","[""Certik""]","[""EN"",""RU"",""ZH"",""ES"",""ID"",""UK""]",TRUE,
trustwallet,,!offer:trustwallet,,,,,,,,,,,,,,,,,,,
wallet-telegram,Wallet (Telegram),,"[""[Website](https://wallet.tg/)""]",FALSE,"[""Desktop"",""iOS"",""Android""]",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[""Jettons"",""NFT"",""USDT-TON""]",FALSE,$0,"[""telegram"",""chatbot""]",,"[""EN"",""RU"",""UA"",""Multilingual""]",FALSE,
